kepid,pl_hostname,pl_letter,pl_name,pl_discmethod,pl_controvflag,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_ttvflag,pl_kepflag,pl_k2flag,pl_nnotes,ra_str,ra,dec_str,dec,st_dist,st_disterr1,st_disterr2,st_distlim,gaia_dist,gaia_disterr1,gaia_disterr2,gaia_distlim,st_optmag,st_optmagerr,st_optmaglim,st_optband,gaia_gmag,gaia_gmagerr,gaia_gmaglim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_mass,st_masserr1,st_masserr2,st_masslim,st_rad,st_raderr1,st_raderr2,st_radlim,rowupdate,pl_facility
11446443,TrES-2,b,TrES-2 b,Transit,0,1,2.47063,1.0E-5,-1.0E-5,0,,,,,0.0,,,0,83.57,0.14,-0.14,0,1.49,0.22,-0.22,0,Mass,1.36,0.08,-0.08,0,,,,,0,1,0,4,19h07m14.03s,286.808473,+49d18m59.0s,49.316402,216.66,1.05,-1.05,0,216.66,1.05,-1.05,0,11.411,0.005,0,V (Johnson),11.282,,0,5850.0,50.0,-50.0,0,1.36,0.3,-0.3,0,1.12,0.07,-0.07,0,2018-04-26,TrES
10666592,HAT-P-7,b,HAT-P-7 b,Transit,0,1,2.20474,1.7E-5,-1.7E-5,0,,,,,0.0,,,0,83.11,0.03,-0.03,0,1.84,0.53,-0.53,0,Mass,1.51,0.21,-0.21,0,,,,,0,1,0,1,19h28m59.35s,292.24731,+47d58m10.2s,47.969513,344.46,2.44,-2.44,0,344.46,2.44,-2.44,0,10.463,,0,Kepler-band,10.365,,0,6389.0,17.0,-17.0,0,1.56,0.68,-0.68,0,2.0,0.28,-0.28,0,2018-04-26,HATNet
10748390,HAT-P-11,b,HAT-P-11 b,Transit,0,2,4.88780244,,,0,0.05254,6.4E-4,-6.6E-4,0,0.218,0.034,-0.031,0,,,,,0.07362,0.00472,-0.00472,0,Msini,0.389,0.005,-0.005,0,,,,,0,1,0,1,19h50m50.24s,297.709351,+48d04m51.1s,48.080856,37.81,0.03,-0.03,0,37.81,0.03,-0.03,0,9.174,,0,Kepler-band,9.151,,0,4780.0,50.0,-50.0,0,0.81,0.02,-0.03,0,0.68,0.01,-0.01,0,2019-01-31,HATNet
10748390,HAT-P-11,c,HAT-P-11 c,Radial Velocity,0,2,3407.0,360.0,-190.0,0,4.13,0.29,-0.16,0,0.601,0.032,-0.031,0,,,,,1.59519,0.09439,-0.08495,0,Msini,,,,,,,,,0,1,0,0,19h50m50.24s,297.709351,+48d04m51.1s,48.080856,37.81,0.03,-0.03,0,37.81,0.03,-0.03,0,9.174,,0,Kepler-band,9.151,,0,4780.0,50.0,-50.0,0,0.81,0.02,-0.03,0,0.68,0.01,-0.01,0,2019-01-31,W. M. Keck Observatory
11853905,Kepler-4,b,Kepler-4 b,Transit,0,1,3.21346,2.2E-4,-2.2E-4,0,0.0456,9.0E-4,-9.0E-4,0,0.0,,,0,89.76,0.24,-2.05,0,0.077,0.012,-0.012,0,Mass,0.357,0.019,-0.019,0,1.91,0.36,-0.47,0,0,1,0,1,19h02m27.68s,285.615322,+50d08m08.7s,50.135754,550.0,80.0,-80.0,0,494.82,5.95,-5.95,0,12.7,0.422,0,V (Johnson),12.158,,0,5857.0,120.0,-120.0,0,1.22,0.05,-0.09,0,1.49,0.07,-0.08,0,2014-05-14,Kepler
8191672,Kepler-5,b,Kepler-5 b,Transit,0,1,3.5484657,7.0E-7,-7.0E-7,0,0.0538,0.0015,-0.0021,0,,,,,89.14,0.44,-0.32,0,2.111,0.067,-0.086,0,Mass,1.426,0.036,-0.051,0,0.4,0.5,-0.5,0,0,1,0,1,19h57m37.68s,299.407009,+44d02m06.2s,44.035046,923.41,17.22,-17.22,0,923.41,17.22,-17.22,0,13.369,,0,Kepler-band,13.226,,0,6297.0,60.0,-60.0,0,1.37,0.04,-0.06,0,1.79,0.04,-0.06,0,2015-10-15,Kepler
10874614,Kepler-6,b,Kepler-6 b,Transit,0,1,3.2346996,4.0E-7,-4.0E-7,0,0.04852,7.4E-4,-0.00133,0,,,,,88.93,0.19,-0.17,0,0.668,0.038,-0.035,0,Mass,1.304,0.018,-0.033,0,0.4,0.06,-0.04,0,0,1,0,1,19h47m20.94s,296.837254,+48d14m23.9s,48.239964,597.14,5.16,-5.16,0,597.14,5.16,-5.16,0,13.303,,0,Kepler-band,13.171,,0,5647.0,44.0,-44.0,0,1.21,0.04,-0.04,0,1.39,0.02,-0.03,0,2015-10-15,Kepler
5780885,Kepler-7,b,Kepler-7 b,Transit,0,1,4.8854892,9.0E-7,-9.0E-7,0,0.06067,5.9E-4,-5.9E-4,0,,,,,85.161,0.055,-0.054,0,0.441,0.043,-0.042,0,Mass,1.622,0.013,-0.013,0,0.14,0.02,-0.02,0,0,1,0,1,19h14m19.56s,288.581516,+41d05m23.3s,41.0898,947.46,21.11,-21.11,0,947.46,21.11,-21.11,0,12.885,,0,Kepler-band,12.865,,0,5933.0,44.0,-44.0,0,1.36,0.03,-0.03,0,1.97,0.01,-0.01,0,2015-10-15,Kepler
6922244,Kepler-8,b,Kepler-8 b,Transit,0,1,3.5224991,7.0E-7,-7.0E-7,0,0.0474,0.0018,-0.0021,0,,,,,83.978,0.036,-0.033,0,0.59,0.13,-0.12,0,Mass,1.416,0.053,-0.062,0,0.27,0.11,-0.08,0,0,1,0,1,18h45m09.15s,281.288118,+42d27m03.9s,42.45108,1052.9,15.36,-15.36,0,1052.9,15.36,-15.36,0,13.9,0.324,0,V (Johnson),13.53,,0,6213.0,150.0,-150.0,0,1.21,0.07,-0.06,0,1.49,0.05,-0.06,0,2015-10-15,Kepler
3323887,Kepler-9,b,Kepler-9 b,Transit,0,3,19.23891,6.0E-5,-6.0E-5,0,0.143,0.007,-0.006,0,0.0609,0.001,-0.0013,0,88.982,0.007,-0.005,0,0.13655,0.00503,-0.00629,0,Mass,0.74,0.048,-0.038,0,0.42,0.06,-0.09,0,1,1,0,1,19h02m17.76s,285.573981,+38d24m03.2s,38.400892,614.0,13.0,-13.0,0,639.82,6.94,-6.94,0,13.803,,0,Kepler-band,13.781,,0,5774.0,60.0,-60.0,0,1.02,0.03,-0.04,0,0.96,0.02,-0.02,0,2019-07-11,Kepler
